,customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service_type_id,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type_id,paperless_billing,payment_type_id,monthly_charges,total_charges,churn,internet_service_type_id,internet_service_type,contract_type_id,contract_type,payment_type_id,payment_type
0,0003-MKNFE,Male,0,No,No,9,Yes,Yes,1,No,No,No,No,No,Yes,1,No,2,59.9,542.4,No,1,DSL,1,Month-to-month,2,Mailed check
1,0013-MHZWF,Female,0,No,Yes,9,Yes,No,1,No,No,No,Yes,Yes,Yes,1,Yes,4,69.4,571.45,No,1,DSL,1,Month-to-month,4,Credit card (automatic)
2,0015-UOCOJ,Female,1,No,No,7,Yes,No,1,Yes,No,No,No,No,No,1,Yes,1,48.2,340.35,No,1,DSL,1,Month-to-month,1,Electronic check
3,0023-HGHWL,Male,1,No,No,1,No,No phone service,1,No,No,No,No,No,No,1,Yes,1,25.1,25.1,Yes,1,DSL,1,Month-to-month,1,Electronic check
4,0032-PGELS,Female,0,Yes,Yes,1,No,No phone service,1,Yes,No,No,No,No,No,1,No,3,30.5,30.5,Yes,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
5,0067-DKWBL,Male,1,No,No,2,Yes,No,1,Yes,No,No,No,No,No,1,Yes,1,49.25,91.1,Yes,1,DSL,1,Month-to-month,1,Electronic check
6,0076-LVEPS,Male,0,No,Yes,29,No,No phone service,1,Yes,Yes,Yes,Yes,No,No,1,Yes,2,45.0,1242.45,No,1,DSL,1,Month-to-month,2,Mailed check
7,0082-LDZUE,Male,0,No,No,1,Yes,No,1,No,No,No,No,No,No,1,Yes,2,44.3,44.3,No,1,DSL,1,Month-to-month,2,Mailed check
8,0096-BXERS,Female,0,Yes,No,6,Yes,Yes,1,No,No,No,No,No,No,1,No,1,50.35,314.55,No,1,DSL,1,Month-to-month,1,Electronic check
9,0096-FCPUF,Male,0,No,No,30,Yes,Yes,1,Yes,No,No,No,No,Yes,1,Yes,2,64.5,1888.45,No,1,DSL,1,Month-to-month,2,Mailed check
10,0106-GHRQR,Male,0,No,No,16,Yes,Yes,1,No,Yes,Yes,No,No,Yes,1,Yes,3,71.4,1212.1,No,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
11,0117-LFRMW,Male,0,Yes,Yes,37,No,No phone service,1,Yes,Yes,Yes,No,No,No,1,No,3,40.2,1448.8,Yes,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
12,0128-MKWSG,Female,0,No,Yes,26,No,No phone service,1,Yes,No,No,Yes,No,Yes,1,No,2,45.8,1147,No,1,DSL,1,Month-to-month,2,Mailed check
